covariate_index,wamd_after
Xc1,0.16462240086277147
Xc2,0.0967400803430069
Xc3,0.025745158023423694
Xc4,0.19697851554927812
Xc5,0.04973629301098125
Xc6,0.04302972397776581
Xc7,0.12648226295854612
Xc8,0.09402939867660866
Xc9,0.19693877953148056
Xc10,0.15478090617207454
Xp1,0.05292800283241781
Xp2,0.06072755591434988
Xp3,0.03466559264004768
Xp4,0.025912959408570822
Xp5,0.04136146767007857
Xp6,0.023741229173119535
Xp7,0.04965950961312184
Xp8,0.01124896594392438
Xp9,0.043801690079683805
Xp10,0.0008265127564657017
Xi1,0.0
Xi2,0.016943757587146134
Xi3,0.0
Xi4,0.0
Xi5,0.0
Xi6,0.0
Xi7,0.0
Xi8,0.0
Xi9,0.0
Xi10,0.0
Xs1,0.0
Xs2,0.0
Xs3,0.0
Xs4,0.0
Xs5,0.0
Xs6,0.0
Xs7,0.0
Xs8,0.003165090491191728
Xs9,0.0
Xs10,0.0
Xs11,0.0
Xs12,0.0
Xs13,0.0
Xs14,0.0
Xs15,0.0
Xs16,0.0
Xs17,0.0
Xs18,0.0
Xs19,0.0
Xs20,0.0
Xs21,0.0
Xs22,0.0
Xs23,0.0
Xs24,0.0
Xs25,0.0
Xs26,0.0
Xs27,0.0
Xs28,0.0
Xs29,0.0
Xs30,0.0
Xs31,0.0
Xs32,0.002883905671464547
Xs33,0.0
Xs34,0.0
Xs35,0.0
Xs36,6.760222051071144e-05
Xs37,0.004575820135428513
Xs38,0.0
Xs39,0.0
Xs40,0.0
Xs41,0.0
Xs42,0.0
Xs43,0.0
Xs44,0.0
Xs45,0.0064784147289366914
Xs46,0.0
Xs47,0.0
Xs48,0.00179620865087615
Xs49,0.0
Xs50,0.0
Xs51,0.002702095027476624
Xs52,0.0
Xs53,0.0
Xs54,0.002526299410047685
Xs55,0.0
Xs56,0.0
Xs57,0.0
Xs58,0.0
Xs59,0.0
Xs60,0.0
Xs61,0.0
Xs62,0.0
Xs63,0.0007030029132623127
Xs64,0.0
Xs65,0.0
Xs66,0.0
Xs67,0.0
Xs68,0.0
Xs69,0.0
Xs70,0.007251084071962196
Xs71,0.0
Xs72,0.0004854965427335758
Xs73,0.0
Xs74,0.0
Xs75,0.0
Xs76,0.0
Xs77,0.0
Xs78,0.0
Xs79,0.0
Xs80,0.0
Xs81,0.0
Xs82,0.0
Xs83,0.0
Xs84,0.0
Xs85,0.0
Xs86,0.0004319709673605254
Xs87,0.0
Xs88,0.0
Xs89,0.0
Xs90,0.0
Xs91,0.0
Xs92,0.0
Xs93,0.0
Xs94,0.0
Xs95,0.0
Xs96,0.0
Xs97,0.0068569299825479
Xs98,0.0
Xs99,0.0022071188884855795
Xs100,0.0
Xs101,0.0
Xs102,0.0
Xs103,0.0
Xs104,0.002862306166744175
Xs105,0.0
Xs106,0.0
Xs107,0.034763703788322824
Xs108,0.0
Xs109,0.0
Xs110,0.0
Xs111,0.0
Xs112,0.0
Xs113,0.0019041586242294869
Xs114,9.430356141150702e-06
Xs115,0.0
Xs116,0.0
Xs117,0.0
Xs118,0.0
Xs119,0.0
Xs120,0.001216705621056429
Xs121,0.0
Xs122,0.0
Xs123,0.0
Xs124,0.0
Xs125,0.0
Xs126,0.0
Xs127,0.0
Xs128,0.0
Xs129,0.0
Xs130,0.0
Xs131,0.0
Xs132,0.0
Xs133,0.0
Xs134,0.0
Xs135,0.0
Xs136,0.0
Xs137,0.0
Xs138,0.0013554202097855001
Xs139,0.0
Xs140,0.0
Xs141,0.0
Xs142,0.0
Xs143,0.0
Xs144,0.0
Xs145,0.0
Xs146,0.0
Xs147,0.006660462365618781
Xs148,0.0
Xs149,0.013298074026430042
Xs150,0.0
Xs151,0.0
Xs152,0.0
Xs153,0.0
Xs154,0.0001988197124541069
Xs155,0.0005241759372019513
Xs156,0.0
Xs157,0.0
Xs158,0.0
Xs159,0.0013648828527189725
Xs160,0.016583965077811093
Xs161,0.0
Xs162,2.192878449855924e-05
Xs163,0.0020836632512941087
Xs164,0.0
Xs165,0.0
Xs166,0.0
Xs167,0.0
Xs168,0.0
Xs169,0.00123503749969186
Xs170,0.0
Xs171,0.0010305621963555707
Xs172,0.0
Xs173,0.0
Xs174,0.0
Xs175,0.0007502403197518694
Xs176,0.0
Xs177,0.0
Xs178,0.0
Xs179,0.0
Xs180,0.0
Xs181,0.0
Xs182,0.0
Xs183,0.0
Xs184,0.0
Xs185,0.0001273448081450587
Xs186,0.0
Xs187,0.016561462081073383
Xs188,0.0
Xs189,0.0
Xs190,0.009229190866266432
Xs191,0.0
Xs192,0.0
Xs193,0.0
Xs194,0.001131216772494008
Xs195,0.0
Xs196,0.0
Xs197,0.0
Xs198,0.0
Xs199,0.0
Xs200,0.0015086360744043775
Xs201,0.0
Xs202,0.0
Xs203,0.0
Xs204,0.0
Xs205,0.0
Xs206,0.0
Xs207,0.0
Xs208,0.0
Xs209,0.0
Xs210,0.0
Xs211,0.0
Xs212,0.0
Xs213,0.010456960531243883
Xs214,0.0
Xs215,0.0
Xs216,0.0
Xs217,0.00014225444410933196
Xs218,0.00016969654531941576
Xs219,0.009244053895409563
Xs220,0.0017138864950599982
Xs221,0.005266317899046822
Xs222,0.0005922510046707165
Xs223,0.01064286648121086
Xs224,0.0
Xs225,0.0
Xs226,0.0
Xs227,0.0
Xs228,0.007613794854753323
Xs229,0.000437648576702896
Xs230,0.0
Xs231,0.0
Xs232,0.0
Xs233,0.007473841223563918
Xs234,0.0
Xs235,0.0
Xs236,0.0
Xs237,0.0
Xs238,0.0005534685846868204
Xs239,0.0
Xs240,0.0
Xs241,0.0037442108363801045
Xs242,0.0
Xs243,0.0
Xs244,0.0
Xs245,0.010425336596816142
Xs246,0.0
Xs247,0.0
Xs248,0.0
Xs249,0.0
Xs250,0.0
Xs251,0.0
Xs252,0.0
